name,sector,address,city,postalCode,phone,email,website,employees,language
Plafonnage Steffen,construction,10 Rue du Fort,Luxembourg,L-1000,+352 621 111 222,info@steffen.lu,,4,fr
Jardins Verts Sarl,jardinier,22 Rue des Fleurs,Mamer,L-8228,+352 691 222 333,,,3,fr
Cafe Belle Etoile,restaurant,5 Place d'Armes,Luxembourg,L-1136,+352 26 11 22 33,contact@belleetoile.lu,https://belleetoile.lu,8,fr
CleanPro Services,limpeza,14 Rue de Bonnevoie,Luxembourg,L-1260,+352 621 333 444,,facebook.com/cleanproservices,6,pt
Plomberie Kaiser,canalizador,3 Rue de l'Eau,Ettelbruck,L-9000,+352 691 444 555,,,2,de
Boutique Chic,loja,18 Grand-Rue,Luxembourg,L-1660,+352 26 44 55 66,,,5,fr
Elektro Feitz,eletricista,9 Rue de l'Industrie,Differdange,L-4550,+352 621 555 666,feitz@elektro.lu,,4,lu
Restaurant Mosella,restaurant,2 Quai de la Moselle,Wormeldange,L-5480,+352 76 12 34,,,3,de
Garten Schmit,jardinier,7 Rue des Pres,Bertrange,L-8010,,,,1,de
Bau Meyer Sarl,construction,30 Rue de Luxembourg,Strassen,L-8008,+352 621 777 888,contact@baumeyer.lu,www.baumeyer.lu,25,fr
Nail Bar Prestige,loja,12 Avenue de la Gare,Luxembourg,L-1610,+352 621 888 999,,,2,pt
Toitures Weber,construction,8 Rue des Artisans,Dudelange,L-3450,+352 691 999 111,weber@toitures.lu,,7,fr
